"Time Bucket","Number of Calls","Percentile"
"0","5","0.33"
"100","616","40.61"
"200","406","67.17"
"300","108","74.23"
"400","80","79.46"
"500","44","82.34"
"600","30","84.3"
"700","32","86.4"
"800","20","87.7"
"900","13","88.55"
"1000","16","89.6"
"1100","14","90.52"
"1200","14","91.43"
"1300","13","92.28"
"1400","11","93.0"
"1500","5","93.33"
"1600","4","93.59"
"1700","5","93.92"
"1800","4","94.18"
"1900","1","94.24"
"2000","4","94.51"
"2300","2","94.64"
"2400","5","94.96"
"2500","1","95.03"
"2600","1","95.09"
"3000","1","95.16"
"3100","1","95.23"
"3200","1","95.29"
"3300","3","95.49"
"3400","1","95.55"
"3500","1","95.62"
"3600","3","95.81"
"3700","4","96.08"
"3800","5","96.4"
"3900","3","96.6"
"4000","2","96.73"
"4300","1","96.8"
"4500","1","96.86"
"4700","1","96.93"
"4900","1","96.99"
"5000","1","97.06"
"5100","1","97.12"
"5200","1","97.19"
"5800","2","97.32"
"5900","1","97.38"
"6400","1","97.45"
"6600","1","97.51"
"6700","1","97.58"
"7200","2","97.71"
"7400","1","97.78"
"7600","1","97.84"
"7700","3","98.04"
"7800","1","98.1"
"7900","3","98.3"
"8000","3","98.5"
"8200","1","98.56"
"8700","1","98.63"
"8800","2","98.76"
"8900","2","98.89"
"9000","2","99.02"
"9100","1","99.08"
"9400","1","99.15"
"9900","1","99.22"
"10000","1","99.28"
"10100","2","99.41"
"10200","1","99.48"
"10300","1","99.54"
"10700","1","99.61"
"11200","1","99.67"
"11700","1","99.74"
"11800","1","99.8"
"16100","1","99.87"
"23100","1","99.93"
"36100","1","100.0"
