"Time Bucket","Number of Calls","Percentile"
"0","5","0.33"
"100","616","40.61"
"200","406","67.17"
"300","108","74.23"
"400","80","79.46"
"500","44","82.34"
"600","30","84.3"
"700","32","86.4"
"800","20","87.7"
"900","13","88.55"
"1000","16","89.6"
"1100","14","90.52"
"1200","14","91.43"
"1300","13","92.28"
"1400","11","93.0"
"1500","5","93.33"
"1600","4","93.59"
"1700","5","93.92"
"1800","4","94.18"
"1900","1","94.24"
"2000","4","94.51"
"2100","0","94.51"
"2200","0","94.51"
"2300","2","94.64"
"2400","5","94.96"
"2500","1","95.03"
"2600","1","95.09"
"2700","0","95.09"
"2800","0","95.09"
"2900","0","95.09"
"3000","1","95.16"
"3100","1","95.23"
"3200","1","95.29"
"3300","3","95.49"
"3400","1","95.55"
"3500","1","95.62"
"3600","3","95.81"
"3700","4","96.08"
"3800","5","96.4"
"3900","3","96.6"
"4000","2","96.73"
"4100","0","96.73"
"4200","0","96.73"
"4300","1","96.8"
"4400","0","96.8"
"4500","1","96.86"
"4600","0","96.86"
"4700","1","96.93"
"4800","0","96.93"
"4900","1","96.99"
"5000","1","97.06"
"5100","1","97.12"
"5200","1","97.19"
"5300","0","97.19"
"5400","0","97.19"
"5500","0","97.19"
"5600","0","97.19"
"5700","0","97.19"
"5800","2","97.32"
"5900","1","97.38"
"6000","0","97.38"
"6100","0","97.38"
"6200","0","97.38"
"6300","0","97.38"
"6400","1","97.45"
"6500","0","97.45"
"6600","1","97.51"
"6700","1","97.58"
"6800","0","97.58"
"6900","0","97.58"
"7000","0","97.58"
"7100","0","97.58"
"7200","2","97.71"
"7300","0","97.71"
"7400","1","97.78"
"7500","0","97.78"
"7600","1","97.84"
"7700","3","98.04"
"7800","1","98.1"
"7900","3","98.3"
"8000","3","98.5"
"8100","0","98.5"
"8200","1","98.56"
"8300","0","98.56"
"8400","0","98.56"
"8500","0","98.56"
"8600","0","98.56"
"8700","1","98.63"
"8800","2","98.76"
"8900","2","98.89"
"9000","2","99.02"
"9100","1","99.08"
"9200","0","99.08"
"9300","0","99.08"
"9400","1","99.15"
"9500","0","99.15"
"9600","0","99.15"
"9700","0","99.15"
"9800","0","99.15"
"9900","1","99.22"
"10000","1","99.28"
"10100","2","99.41"
"10200","1","99.48"
"10300","1","99.54"
"10400","0","99.54"
"10500","0","99.54"
"10600","0","99.54"
"10700","1","99.61"
"10800","0","99.61"
"10900","0","99.61"
"11000","0","99.61"
"11100","0","99.61"
"11200","1","99.67"
"11300","0","99.67"
"11400","0","99.67"
"11500","0","99.67"
"11600","0","99.67"
"11700","1","99.74"
"11800","1","99.8"
"11900","0","99.8"
"12000","0","99.8"
"12100","0","99.8"
"12200","0","99.8"
"12300","0","99.8"
"12400","0","99.8"
"12500","0","99.8"
"12600","0","99.8"
"12700","0","99.8"
"12800","0","99.8"
"12900","0","99.8"
"13000","0","99.8"
"13100","0","99.8"
"13200","0","99.8"
"13300","0","99.8"
"13400","0","99.8"
"13500","0","99.8"
"13600","0","99.8"
"13700","0","99.8"
"13800","0","99.8"
"13900","0","99.8"
"14000","0","99.8"
"14100","0","99.8"
"14200","0","99.8"
"14300","0","99.8"
"14400","0","99.8"
"14500","0","99.8"
"14600","0","99.8"
"14700","0","99.8"
"14800","0","99.8"
"14900","0","99.8"
"15000","0","99.8"
"15100","0","99.8"
"15200","0","99.8"
"15300","0","99.8"
"15400","0","99.8"
"15500","0","99.8"
"15600","0","99.8"
"15700","0","99.8"
"15800","0","99.8"
"15900","0","99.8"
"16000","0","99.8"
"16100","1","99.87"
"16200","0","99.87"
"16300","0","99.87"
"16400","0","99.87"
"16500","0","99.87"
"16600","0","99.87"
"16700","0","99.87"
"16800","0","99.87"
"16900","0","99.87"
"17000","0","99.87"
"17100","0","99.87"
"17200","0","99.87"
"17300","0","99.87"
"17400","0","99.87"
"17500","0","99.87"
"17600","0","99.87"
"17700","0","99.87"
"17800","0","99.87"
"17900","0","99.87"
"18000","0","99.87"
"18100","0","99.87"
"18200","0","99.87"
"18300","0","99.87"
"18400","0","99.87"
"18500","0","99.87"
"18600","0","99.87"
"18700","0","99.87"
"18800","0","99.87"
"18900","0","99.87"
"19000","0","99.87"
"19100","0","99.87"
"19200","0","99.87"
"19300","0","99.87"
